date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0.0,0.0,1
03-15-2020,1,0,0,1,0.0,0.0,1.0
03-16-2020,1,0,0,1,0.0,0.0,1.0
03-17-2020,1,0,0,1,0.0,0.0,1.0
03-18-2020,1,0,0,1,0.0,0.0,1.0
03-19-2020,1,0,0,1,0.0,0.0,1.0
03-20-2020,4,0,0,4,0.0,0.0,4.0
03-21-2020,4,0,0,4,0.0,0.0,1.0
03-22-2020,5,0,0,5,0.0,0.0,1.25
03-23-2020,5,0,0,5,0.0,0.0,1.0
03-24-2020,7,0,0,7,0.0,0.0,1.4
03-25-2020,8,0,0,8,0.0,0.0,1.1428571428571428
03-26-2020,8,0,0,8,0.0,0.0,1.0
03-27-2020,8,0,0,8,0.0,0.0,1.0
03-28-2020,8,0,0,8,0.0,0.0,1.0
03-29-2020,8,0,0,8,0.0,0.0,1.0
03-30-2020,8,0,0,8,0.0,0.0,1.0
03-31-2020,9,0,0,9,0.0,0.0,1.125
04-01-2020,10,0,0,10,0.0,0.0,1.1111111111111112
04-02-2020,10,0,0,10,0.0,0.0,1.0
04-03-2020,10,1,0,10,10.0,0.0,1.0
04-04-2020,10,1,0,10,10.0,0.0,1.0
04-05-2020,10,1,0,10,10.0,0.0,1.0
04-06-2020,10,1,0,10,10.0,0.0,1.0
04-07-2020,10,1,0,10,10.0,0.0,1.0
04-08-2020,10,1,3,7,10.0,30.0,1.0
04-09-2020,10,1,4,6,10.0,40.0,1.0
04-10-2020,10,1,4,6,10.0,40.0,1.0
04-11-2020,10,1,4,6,10.0,40.0,1.0
04-12-2020,10,1,4,6,10.0,40.0,1.0
04-13-2020,10,1,6,4,10.0,60.0,1.0
04-14-2020,10,1,6,4,10.0,60.0,1.0
04-15-2020,10,1,6,4,10.0,60.0,1.0
04-16-2020,10,1,6,4,10.0,60.0,1.0
04-17-2020,10,1,6,4,10.0,60.0,1.0
04-18-2020,10,1,6,4,10.0,60.0,1.0
04-19-2020,10,1,6,4,10.0,60.0,1.0
04-20-2020,10,1,6,4,10.0,60.0,1.0
04-21-2020,10,1,6,4,10.0,60.0,1.0
04-22-2020,10,1,6,4,10.0,60.0,1.0
04-23-2020,10,1,6,4,10.0,60.0,1.0
04-24-2020,10,1,7,3,10.0,70.0,1.0
04-25-2020,10,1,7,3,10.0,70.0,1.0
04-26-2020,10,1,7,3,10.0,70.0,1.0
04-27-2020,10,1,7,3,10.0,70.0,1.0
04-28-2020,10,1,7,3,10.0,70.0,1.0
04-29-2020,10,1,8,2,10.0,80.0,1.0
04-30-2020,10,1,8,2,10.0,80.0,1.0
05-01-2020,10,1,8,2,10.0,80.0,1.0
05-02-2020,10,1,8,2,10.0,80.0,1.0
05-03-2020,10,1,9,1,10.0,90.0,1.0
05-04-2020,10,1,9,1,10.0,90.0,1.0
05-05-2020,10,1,9,1,10.0,90.0,1.0
05-06-2020,10,1,9,1,10.0,90.0,1.0
05-07-2020,10,1,9,1,10.0,90.0,1.0
05-08-2020,10,1,9,1,10.0,90.0,1.0
05-09-2020,10,1,9,1,10.0,90.0,1.0
05-10-2020,10,1,9,1,10.0,90.0,1.0
05-11-2020,10,1,9,1,10.0,90.0,1.0
05-12-2020,10,1,9,1,10.0,90.0,1.0
05-13-2020,10,1,9,1,10.0,90.0,1.0
05-14-2020,10,1,9,1,10.0,90.0,1.0
05-15-2020,10,1,9,1,10.0,90.0,1.0
05-16-2020,10,1,9,1,10.0,90.0,1.0
05-17-2020,10,1,9,1,10.0,90.0,1.0
05-18-2020,11,1,9,2,9.09,81.82,1.1
05-19-2020,11,1,9,2,9.09,81.82,1.0
05-20-2020,11,1,9,2,9.09,81.82,1.0
05-21-2020,11,1,9,2,9.09,81.82,1.0
05-22-2020,11,1,9,2,9.09,81.82,1.0
05-23-2020,11,1,9,2,9.09,81.82,1.0
05-24-2020,11,1,9,2,9.09,81.82,1.0
05-25-2020,11,1,9,2,9.09,81.82,1.0
05-26-2020,11,1,9,2,9.09,81.82,1.0
05-27-2020,12,1,9,3,8.33,75.0,1.0909090909090908
05-28-2020,12,1,9,3,8.33,75.0,1.0
05-29-2020,12,1,9,3,8.33,75.0,1.0
05-30-2020,14,1,9,5,7.14,64.29,1.1666666666666667
05-31-2020,23,1,9,14,4.35,39.13,1.6428571428571428
06-01-2020,44,1,9,35,2.27,20.45,1.9130434782608696
06-02-2020,54,1,9,45,1.85,16.67,1.2272727272727273
06-03-2020,74,1,9,65,1.35,12.16,1.3703703703703702
06-04-2020,82,1,9,73,1.22,10.98,1.1081081081081081
06-05-2020,90,1,9,81,1.11,10.0,1.0975609756097562
06-06-2020,100,1,9,91,1.0,9.0,1.1111111111111112
06-07-2020,122,1,9,113,0.82,7.38,1.22
06-08-2020,128,2,9,119,1.56,7.03,1.0491803278688525
06-09-2020,137,2,9,128,1.46,6.57,1.0703125
06-10-2020,144,2,9,135,1.39,6.25,1.051094890510949
06-11-2020,168,2,9,159,1.19,5.36,1.1666666666666667
06-12-2020,187,3,9,178,1.6,4.81,1.1130952380952381
06-13-2020,196,3,9,187,1.53,4.59,1.0481283422459893
06-14-2020,208,3,9,199,1.44,4.33,1.0612244897959184
06-15-2020,229,5,48,181,2.18,20.96,1.1009615384615385
06-16-2020,236,6,48,188,2.54,20.34,1.0305676855895196
06-17-2020,261,6,48,213,2.3,18.39,1.1059322033898304
06-18-2020,277,7,74,203,2.53,26.71,1.0613026819923372
06-19-2020,293,8,74,219,2.73,25.26,1.0577617328519855
06-20-2020,303,8,74,229,2.64,24.42,1.0341296928327646
06-21-2020,314,8,106,208,2.55,33.76,1.0363036303630364
06-22-2020,319,8,132,187,2.51,41.38,1.015923566878981
06-23-2020,319,9,132,187,2.82,41.38,1.0
06-24-2020,357,10,154,203,2.8,43.14,1.1191222570532915
06-25-2020,373,10,176,197,2.68,47.18,1.0448179271708684
06-26-2020,389,10,181,208,2.57,46.53,1.0428954423592494
06-27-2020,467,11,191,276,2.36,40.9,1.2005141388174807
06-28-2020,490,11,199,291,2.24,40.61,1.0492505353319057
06-29-2020,501,13,217,284,2.59,43.31,1.0224489795918368
06-30-2020,515,13,227,288,2.52,44.08,1.0279441117764472
07-01-2020,535,13,242,293,2.43,45.23,1.0388349514563107
07-02-2020,547,13,252,295,2.38,46.07,1.0224299065420561
07-03-2020,561,13,267,294,2.32,47.59,1.0255941499085923
07-04-2020,565,14,276,289,2.48,48.85,1.0071301247771836
07-05-2020,594,14,292,302,2.36,49.16,1.0513274336283185
07-06-2020,614,14,315,299,2.28,51.3,1.0336700336700337
07-07-2020,634,15,405,229,2.37,63.88,1.0325732899022801
07-08-2020,665,17,434,231,2.56,65.26,1.0488958990536277
07-09-2020,694,17,456,238,2.45,65.71,1.043609022556391
07-10-2020,726,18,481,245,2.48,66.25,1.0461095100864553
07-11-2020,741,18,495,246,2.43,66.8,1.0206611570247934
07-12-2020,741,18,495,246,2.43,66.8,1.0
07-13-2020,780,18,526,254,2.31,67.44,1.0526315789473684
07-14-2020,801,18,543,258,2.25,67.79,1.0269230769230768
07-15-2020,837,18,573,264,2.15,68.46,1.0449438202247192
07-16-2020,904,18,581,323,1.99,64.27,1.080047789725209
07-17-2020,943,19,600,343,2.01,63.63,1.043141592920354
07-18-2020,1001,20,610,391,2.0,60.94,1.061505832449629
07-19-2020,1029,21,627,402,2.04,60.93,1.027972027972028
07-20-2020,1079,21,656,423,1.95,60.8,1.0485908649173956
07-21-2020,1131,21,705,426,1.86,62.33,1.0481927710843373
07-22-2020,1176,21,739,437,1.79,62.84,1.039787798408488
07-23-2020,1234,23,774,460,1.86,62.72,1.0493197278911564
07-24-2020,1305,23,804,501,1.76,61.61,1.0575364667747165
07-25-2020,1381,23,853,528,1.67,61.77,1.0582375478927204
07-26-2020,1439,23,890,549,1.6,61.85,1.0419985517740769
07-27-2020,1483,24,925,558,1.62,62.37,1.0305767894371092
07-28-2020,1510,24,965,545,1.59,63.91,1.0182063385030344
07-29-2020,1607,26,1003,604,1.62,62.41,1.0642384105960265
07-30-2020,1607,26,1003,604,1.62,62.41,1.0
07-31-2020,1650,26,1080,570,1.58,65.45,1.0267579340385813
08-01-2020,1760,26,1161,599,1.48,65.97,1.0666666666666667
08-02-2020,1849,27,1194,655,1.46,64.58,1.0505681818181818
08-03-2020,1893,27,1227,666,1.43,64.82,1.0237966468361277
08-04-2020,1981,27,1278,703,1.36,64.51,1.04648705758056
08-05-2020,2050,27,1327,723,1.32,64.73,1.0348308934881374
08-06-2020,2096,29,1446,650,1.38,68.99,1.022439024390244
08-07-2020,2203,29,1505,698,1.32,68.32,1.0510496183206106
08-08-2020,2306,29,1558,748,1.26,67.56,1.0467544257830232
08-09-2020,2391,29,1635,756,1.21,68.38,1.0368603642671292
08-10-2020,2489,30,1674,815,1.21,67.26,1.040987034713509
08-11-2020,2559,39,1712,847,1.52,66.9,1.028123744475693
08-12-2020,2653,39,1789,864,1.47,67.43,1.036733098866745
08-13-2020,2761,40,1830,931,1.45,66.28,1.0407086317376555
08-14-2020,2838,41,1894,944,1.44,66.74,1.0278884462151394
08-15-2020,2961,42,1990,971,1.42,67.21,1.0433403805496828
08-16-2020,3016,47,2036,980,1.56,67.51,1.0185748058088484
08-17-2020,3077,48,2138,939,1.56,69.48,1.0202254641909814
08-18-2020,3216,54,2196,1020,1.68,68.28,1.0451738706532336
08-19-2020,3295,54,2227,1068,1.64,67.59,1.0245646766169154
08-20-2020,3366,55,2383,983,1.63,70.8,1.0215477996965099
08-21-2020,3460,56,2498,962,1.62,72.2,1.0279263220439692
08-22-2020,3569,57,2559,1010,1.6,71.7,1.0315028901734105
08-23-2020,3607,58,2688,919,1.61,74.52,1.0106472401232838
08-24-2020,3632,60,2758,874,1.65,75.94,1.0069309675630718
08-25-2020,3698,61,2818,880,1.65,76.2,1.0181718061674008
08-26-2020,3724,62,2863,861,1.66,76.88,1.0070308274743105
08-27-2020,3793,66,2893,900,1.74,76.27,1.0185284640171859
08-28-2020,3848,66,2971,877,1.72,77.21,1.0145003954653309
08-29-2020,3954,67,2991,963,1.69,75.64,1.0275467775467775
08-30-2020,4009,67,3073,936,1.67,76.65,1.0139099645928173
08-31-2020,4034,71,3140,894,1.76,77.84,1.0062359690695934
09-01-2020,4089,72,3171,918,1.76,77.55,1.0136341100644521
09-02-2020,4149,72,3272,877,1.74,78.86,1.0146735143066765
09-03-2020,4215,73,3318,897,1.73,78.72,1.0159074475777297
09-04-2020,4252,75,3366,886,1.76,79.16,1.0087781731909846
09-05-2020,4320,76,3426,894,1.76,79.31,1.0159924741298212
09-06-2020,4346,85,3494,852,1.96,80.4,1.0060185185185184
09-07-2020,4360,91,3544,816,2.09,81.28,1.0032213529682468
09-08-2020,4419,91,3595,824,2.06,81.35,1.0135321100917432
09-09-2020,4447,92,3622,825,2.07,81.45,1.006336275175379
09-10-2020,4477,93,3706,771,2.08,82.78,1.0067461209804363
09-11-2020,4529,93,3747,782,2.05,82.73,1.0116149207058298
09-12-2020,4579,93,3788,791,2.03,82.73,1.011039964672113
09-13-2020,4582,93,3850,732,2.03,84.02,1.0006551648831623
09-14-2020,4611,95,3935,676,2.06,85.34,1.0063291139240507
09-15-2020,4625,95,3996,629,2.05,86.4,1.0030362177401866
09-16-2020,4645,95,4089,556,2.05,88.03,1.0043243243243243
09-17-2020,4671,95,4160,511,2.03,89.06,1.0055974165769646
09-18-2020,4691,96,4280,411,2.05,91.24,1.0042817383857847
09-19-2020,4709,97,4383,326,2.06,93.08,1.0038371349392454
09-20-2020,4723,97,4488,235,2.05,95.02,1.0029730303673816
09-21-2020,4740,97,4525,215,2.05,95.46,1.0035994071564684
09-22-2020,4759,100,4541,218,2.1,95.42,1.0040084388185655
09-23-2020,4779,101,4560,219,2.11,95.42,1.004202563563774
09-24-2020,4789,102,4578,211,2.13,95.59,1.0020924879681943
09-25-2020,4817,102,4596,221,2.12,95.41,1.005846732094383
09-26-2020,4831,102,4620,211,2.11,95.63,1.002906373261366
09-27-2020,4835,102,4661,174,2.11,96.4,1.0008279859242393
09-28-2020,4836,102,4667,169,2.11,96.51,1.0002068252326783
09-29-2020,4863,104,4676,187,2.14,96.15,1.0055831265508686
09-30-2020,4877,104,4695,182,2.13,96.27,1.0028788813489615
10-01-2020,4891,105,4702,189,2.15,96.14,1.0028706171826942
10-02-2020,4899,105,4715,184,2.14,96.24,1.0016356573297893
10-03-2020,4924,106,4723,201,2.15,95.92,1.005103082261686
10-04-2020,4941,106,4741,200,2.15,95.95,1.0034524776604388
10-05-2020,4954,106,4755,199,2.14,95.98,1.0026310463468933
10-06-2020,4965,106,4766,199,2.13,95.99,1.0022204279370206
10-07-2020,4979,106,4781,198,2.13,96.02,1.0028197381671702
10-08-2020,5004,106,4794,210,2.12,95.8,1.0050210885720023
10-09-2020,5018,106,4816,202,2.11,95.97,1.0027977617905675
10-10-2020,5035,107,4830,205,2.13,95.93,1.0033878039059385
10-11-2020,5051,107,4845,206,2.12,95.92,1.0031777557100299
10-12-2020,5058,107,4862,196,2.12,96.12,1.00138586418531
10-13-2020,5072,107,4870,202,2.11,96.02,1.0027678924476078
10-14-2020,5083,108,4886,197,2.12,96.12,1.0021687697160884
10-15-2020,5094,109,4907,187,2.14,96.33,1.0021640763328743
10-16-2020,5113,109,4921,192,2.13,96.24,1.0037298782881823
10-17-2020,5123,109,4936,187,2.13,96.35,1.0019557989438685
10-18-2020,5130,109,4944,186,2.12,96.37,1.0013663868826859
10-19-2020,5133,109,4959,174,2.12,96.61,1.0005847953216374
10-20-2020,5144,109,4979,165,2.12,96.79,1.002142996298461
10-21-2020,5150,109,4991,159,2.12,96.91,1.0011664074650077
10-22-2020,5154,109,4995,159,2.11,96.92,1.0007766990291262
10-23-2020,5155,109,5010,145,2.11,97.19,1.0001940240589833
10-24-2020,5166,109,5016,150,2.11,97.1,1.0021338506304558
10-25-2020,5170,109,5032,138,2.11,97.33,1.0007742934572204
10-26-2020,5180,110,5037,143,2.12,97.24,1.001934235976789
10-27-2020,5187,111,5039,148,2.14,97.15,1.0013513513513514
10-28-2020,5192,111,5046,146,2.14,97.19,1.0009639483323693
10-29-2020,5197,111,5053,144,2.14,97.23,1.0009630200308166
10-30-2020,5201,111,5057,144,2.13,97.23,1.0007696748123918
10-31-2020,5203,111,5060,143,2.13,97.25,1.0003845414343395
11-01-2020,5210,111,5066,144,2.13,97.24,1.0013453776667307
11-02-2020,5212,111,5082,130,2.13,97.51,1.000383877159309
11-03-2020,5218,111,5087,131,2.13,97.49,1.001151189562548
11-04-2020,5220,112,5090,130,2.15,97.51,1.0003832886163282
11-05-2020,5225,112,5097,128,2.14,97.55,1.0009578544061302
11-06-2020,5227,112,5102,125,2.14,97.61,1.0003827751196173
11-07-2020,5234,113,5105,129,2.16,97.54,1.001339200306103
11-08-2020,5239,113,5107,132,2.16,97.48,1.0009552923194498
11-09-2020,5241,113,5110,131,2.16,97.5,1.0003817522427945
11-10-2020,5245,113,5115,130,2.15,97.52,1.0007632131272657
11-11-2020,5254,113,5118,136,2.15,97.41,1.0017159199237369
11-12-2020,5261,114,5126,135,2.17,97.43,1.0013323182337266
11-13-2020,5268,114,5131,137,2.16,97.4,1.0013305455236647
11-14-2020,5274,114,5143,131,2.16,97.52,1.001138952164009
11-15-2020,5274,114,5148,126,2.16,97.61,1.0
11-16-2020,5275,115,5148,127,2.18,97.59,1.0001896094046265
11-17-2020,5278,116,5157,121,2.2,97.71,1.000568720379147
11-18-2020,5282,116,5158,124,2.2,97.65,1.0007578628268283
