date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-16-2020,1,0,0,1,0.0,0.0,1
03-17-2020,1,0,0,1,0.0,0.0,1.0
03-18-2020,2,0,0,2,0.0,0.0,2.0
03-19-2020,2,0,0,2,0.0,0.0,1.0
03-20-2020,2,0,0,2,0.0,0.0,1.0
03-21-2020,3,0,0,3,0.0,0.0,1.5
03-22-2020,3,0,0,3,0.0,0.0,1.0
03-23-2020,3,0,0,3,0.0,0.0,1.0
03-24-2020,3,0,0,3,0.0,0.0,1.0
03-25-2020,3,0,0,3,0.0,0.0,1.0
03-26-2020,3,0,0,3,0.0,0.0,1.0
03-27-2020,3,0,0,3,0.0,0.0,1.0
03-28-2020,3,0,0,3,0.0,0.0,1.0
03-29-2020,3,0,0,3,0.0,0.0,1.0
03-30-2020,3,0,0,3,0.0,0.0,1.0
03-31-2020,3,0,0,3,0.0,0.0,1.0
04-01-2020,6,0,0,6,0.0,0.0,2.0
04-02-2020,6,0,0,6,0.0,0.0,1.0
04-03-2020,7,0,0,7,0.0,0.0,1.1666666666666667
04-04-2020,10,1,3,7,10.0,30.0,1.4285714285714286
04-05-2020,13,3,3,10,23.08,23.08,1.3
04-06-2020,14,3,3,11,21.43,21.43,1.0769230769230769
04-07-2020,14,3,3,11,21.43,21.43,1.0
04-08-2020,31,4,3,28,12.9,9.68,2.2142857142857144
04-09-2020,31,4,3,28,12.9,9.68,1.0
04-10-2020,37,5,3,34,13.51,8.11,1.1935483870967742
04-11-2020,48,5,3,45,10.42,6.25,1.2972972972972974
04-12-2020,50,5,3,47,10.0,6.0,1.0416666666666667
04-13-2020,59,6,4,55,10.17,6.78,1.18
04-14-2020,59,6,4,55,10.17,6.78,1.0
04-15-2020,59,6,4,55,10.17,6.78,1.0
04-16-2020,59,6,4,55,10.17,6.78,1.0
04-17-2020,76,7,7,69,9.21,9.21,1.288135593220339
04-18-2020,76,7,7,69,9.21,9.21,1.0
04-19-2020,91,8,7,84,8.79,7.69,1.1973684210526316
04-20-2020,99,8,7,92,8.08,7.07,1.0879120879120878
04-21-2020,101,8,7,94,7.92,6.93,1.02020202020202
04-22-2020,101,8,20,81,7.92,19.8,1.0
04-23-2020,101,8,20,81,7.92,19.8,1.0
04-24-2020,117,8,25,92,6.84,21.37,1.1584158415841583
04-25-2020,120,11,25,95,9.17,20.83,1.0256410256410255
04-26-2020,124,12,25,99,9.68,20.16,1.0333333333333334
04-27-2020,124,12,25,99,9.68,20.16,1.0
04-28-2020,141,16,45,96,11.35,31.91,1.1370967741935485
04-29-2020,141,16,45,96,11.35,31.91,1.0
04-30-2020,141,16,45,96,11.35,31.91,1.0
05-01-2020,152,18,45,107,11.84,29.61,1.0780141843971631
05-02-2020,154,18,48,106,11.69,31.17,1.013157894736842
05-03-2020,158,18,58,100,11.39,36.71,1.025974025974026
05-04-2020,166,18,58,108,10.84,34.94,1.0506329113924051
